Timestamp,Full Name? (First and Last),UTRGV Email,Preferred Time Slot (can choose multiple),What year are you in?,Do you speak Spanish?
1/23/2024 13:46:12,Adam,adam123@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
1/23/2024 13:46:29,Gordon,gordon456@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,No
1/23/2024 13:46:39,Don,don789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
1/23/2024 13:46:54,Bart,bart123@utrgv.edu,11:00 a.m.-2:00 p.m.,MS2,Yes
1/23/2024 13:47:08,Joe,joe456@utrgv.edu,9:00 a.m.-12:00 p.m.,MS3,No
1/23/2024 13:47:29,Jesse,jesse789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS2,Yes
1/23/2024 13:47:40,Lopez,lopez123@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS2,No
1/23/2024 13:47:54,Jorge,jorge456@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS3,Yes
1/23/2024 13:48:06,Jake,jake789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS2,Yes
1/23/2024 13:48:16,Jordan,jordan123@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
1/23/2024 13:48:29,Susan,susan789@utrgv.edu,11:00 a.m.-2:00 p.m.,MS3,No
1/23/2024 13:48:42,Chris,chris123@utrgv.edu,9:00 a.m.-12:00 p.m.,MS2,Yes
1/23/2024 13:48:54,Emily,emily456@utrgv.edu,11:00 a.m.-2:00 p.m.,MS1,Yes
1/23/2024 13:49:08,Michael,michael789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS2,No
1/23/2024 13:49:21,Ashley,ashley123@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
1/23/2024 13:49:34,Robert,robert456@utrgv.edu,9:00 a.m.-12:00 p.m.,MS3,Yes
1/23/2024 13:49:47,Linda,linda789@utrgv.edu,11:00 a.m.-2:00 p.m.,MS2,Yes
1/23/2024 13:50:00,Kevin,kevin123@utrgv.edu,9:00 a.m.-12:00 p.m.,MS1,No
1/23/2024 13:50:14,Amanda,amanda456@utrgv.edu,11:00 a.m.-2:00 p.m.,MS3,Yes
1/23/2024 13:50:27,Brian,brian789@utrgv.edu,9:00 a.m.-12:00 p.m.,MS2,No
1/23/2024 13:50:40,Sophia,sophia123@utrgv.edu,9:00 a.m.-12:00 p.m.,MS1,Yes
1/23/2024 13:50:54,John,john456@utrgv.edu,11:00 a.m.-2:00 p.m.,MS2,Yes
1/23/2024 13:51:07,Natalie,natalie789@utrgv.edu,9:00 a.m.-12:00 p.m.,MS3,Yes
1/23/2024 13:51:20,Andrew,andrew123@utrgv.edu,11:00 a.m.-2:00 p.m.,MS1,No
1/23/2024 13:51:34,Michelle,michelle456@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS2,Yes
1/23/2024 13:51:47,Christopher,christopher789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
1/23/2024 13:52:00,Megan,megan123@utrgv.edu,11:00 a.m.-2:00 p.m.,MS3,No
1/23/2024 13:52:14,William,william456@utrgv.edu,9:00 a.m.-12:00 p.m.,MS2,Yes
1/23/2024 13:52:27,Katherine,katherine789@utrgv.edu,"9:00 a.m.-12:00 p.m., 11:00 a.m.-2:00 p.m.",MS1,Yes
